       Elevation         Storage
          764.00       189332.00
          765.00       192683.00
          766.00       196089.00
          767.00       199535.00
          768.00       203026.00
          769.00       206563.00
          770.00       210147.00
          771.00       213775.00
          772.00       217450.00
          773.00       221171.00
          774.00       224939.00
          775.00       228752.00
          776.00       232612.00
          777.00       236519.00
          778.00       240471.00
          779.00       244469.00
          780.00       248514.00
          781.00       252603.00
          782.00       256739.00
          783.00       260919.00
          784.00       265144.00
          785.00       269414.00
          786.00       273738.00
          787.00       278090.00
          788.00       282496.00
          789.00       286947.00
          790.00       291443.00
          791.00       295986.00
          792.00       300574.00
          793.00       305209.00
          794.00       309891.00
          795.00       314621.00
          796.00       319395.00
          797.00       324225.00
          798.00       329100.00
          799.00       334026.00
          800.00       339002.00
          801.00       344030.00
          802.00       349111.00
          803.00       354244.00
          804.00       359432.00
          805.00       364674.00
          806.00       365973.00
          807.00       375327.00
          808.00       380739.00
          809.00       386205.00
          810.00       391736.00
          811.00       397323.00
          812.00       402969.00
          813.00       403677.00
          814.00       414445.00
          815.00       420274.00
          816.00       426166.00
          817.00       432121.00
          818.00       438139.00
          819.00       444220.00
          820.00       450366.00
          821.00       456605.00
          822.00       462906.00
          823.00       469267.00
          824.00       475690.00
          825.00       482176.00
          826.00       488723.00
          827.00       495333.00
          828.00       502007.00
          829.00       508743.00
          830.00       515543.00
          831.00       522407.00
          832.00       529336.00
          833.00       536330.00
          834.00       543388.00
          835.00       550512.00
          836.00       557702.00
          837.00       564958.00
          838.00       572280.00
          839.00       579670.00
          840.00       587157.00
          841.00       594655.00
          842.00       602251.00
          843.00       609915.00
          844.00       617648.00
          845.00       625450.00
          846.00       633323.00
          847.00       641264.00
          848.00       649276.00
          849.00       657358.00
          850.00       665511.00
          851.00       673736.00
          852.00       682032.00
          853.00       690401.00
          854.00       698841.00
          855.00       707355.00
          856.00       715941.00
          857.00       724602.00
          858.00       733336.00
          859.00       742144.00
          860.00       751027.00
          861.00       759943.00
          862.00       768935.00
          863.00       778000.00
          864.00       787142.00
          865.00       793658.00
          866.00       805651.00
          867.00       815020.00
          868.00       824465.00
          869.00       833988.00
          870.00       843589.00
          871.00       853266.00
          872.00       863023.00
          873.00       872857.00
          874.00       882770.00
          875.00       892763.00
          876.00       902836.00
          877.00       912988.00
          878.00       923221.00
          879.00       933535.00
          880.00       943929.00
          881.00       954341.00
          882.00       964832.00
          883.00       975405.00
          884.00       986060.00
          885.00       996795.00
          886.00      1007613.00
          887.00      1018514.00
          888.00      1029497.00
          889.00      1040564.00
          890.00      1051713.00
          891.00      1062947.00
          892.00      1074866.00
          893.00      1085668.00
          894.00      1097156.00
          895.00      1108729.00
          896.00      1120388.00
          897.00      1132134.00
          898.00      1143965.00
          899.00      1155883.00
          900.00      1167888.00
          901.00      1179892.00
          902.00      1191981.00
          903.00      1204158.00
          904.00      1216422.00
          905.00      1228773.00
          906.00      1241213.00
          907.00      1253739.00
          908.00      1266356.00
          909.00      1279060.00
          910.00      1291854.00
          911.00      1304737.00
          912.00      1317711.00
          913.00      1330774.00
          914.00      1343929.00
          915.00      1357174.00
          916.00      1370511.00
          917.00      1383940.00
          918.00      1397461.00
          919.00      1411074.00
          920.00      1424780.00
          921.00      1438506.00
          922.00      1452324.00
          923.00      1466235.00
          924.00      1480240.00
          925.00      1494336.00
          926.00      1508528.00
          927.00      1522813.00
          928.00      1537193.00
          929.00      1551667.00
          930.00      1566238.00
          931.00      1580903.00
          932.00      1595665.00
          933.00      1610523.00
          934.00      1625478.00
          935.00      1640529.00
          936.00      1655678.00
          937.00      1670925.00
          938.00      1686270.00
          939.00      1701713.00
          940.00      1717255.00
          941.00      1732785.00
          942.00      1748411.00
          943.00      1764137.00
          944.00      1779960.00
          945.00      1811905.00
          946.00      1811905.00
          947.00      1828027.00
          948.00      1844246.00
          949.00      1860571.00
          950.00      1876996.00
          951.00      1893516.00
          952.00      1910141.00
          953.00      1926867.00
          954.00      1943696.00
          955.00      1960627.00
          956.00      1977659.00
          957.00      1994796.00
          958.00      2012037.00
          959.00      2029381.00
          960.00      2046829.00
          961.00      2064285.00
          962.00      2081845.00
          963.00      2099510.00
          964.00      2117278.00
          965.00      2135150.00
          966.00      2153127.00
          967.00      2171210.00
          968.00      2189399.00
          969.00      2207692.00
          970.00      2226093.00
          971.00      2244600.00
          972.00      2263214.00
          973.00      2281936.00
          974.00      2300765.00
          975.00      2319700.00
          976.00      2338747.00
          977.00      2357900.00
          978.00      2377163.00
          979.00      2396536.00
          980.00      2416019.00
          981.00      2435579.00
          982.00      2455251.00
          983.00      2475031.00
          984.00      2494924.00
          985.00      2514928.00
          986.00      2535041.00
          987.00      2555268.00
          988.00      2575607.00
          989.00      2596059.00
          990.00      2616622.00
          991.00      2637299.00
          992.00      2658089.00
          993.00      2678994.00
          994.00      2700013.00
          995.00      2721146.00
          996.00      2742395.00
          997.00      2763757.00
          998.00      2785237.00
          999.00      2806832.00
         1000.00      2828544.00
         1001.00      2850335.00
         1002.00      2872244.00
         1003.00      2894270.00
         1004.00      2916410.00
         1005.00      2938672.00
         1006.00      2961049.00
         1007.00      2983548.00
         1008.00      3006162.00
         1009.00      3028895.00
         1010.00      3051750.00
         1011.00      3074723.00
         1012.00      3097817.00
         1013.00      3121030.00
         1014.00      3144365.00
         1015.00      3167820.00
         1016.00      3191401.00
         1017.00      3215097.00
         1018.00      3238920.00
         1019.00      3262862.00
         1020.00      3286929.00
         1021.00      3311027.00
         1022.00      3335251.00
         1023.00      3359595.00
         1024.00      3384062.00
         1025.00      3408655.00
         1026.00      3433371.00
         1027.00      3458210.00
         1028.00      3483173.00
         1029.00      3508264.00
         1030.00      3533478.00
         1031.00      3558818.00
         1032.00      3584283.00
         1033.00      3609875.00
         1034.00      3635596.00
         1035.00      3661442.00
         1036.00      3687415.00
         1037.00      3713517.00
         1038.00      3739744.00
         1039.00      3766100.00
         1040.00      3792590.00
         1041.00      3819060.00
         1042.00      3845663.00
         1043.00      3872390.00
         1044.00      3899248.00
         1045.00      3926323.00
         1046.00      3953347.00
         1047.00      3980594.00
         1048.00      4007969.00
         1049.00      4035473.00
         1050.00      4063108.00
         1051.00      4090874.00
         1052.00      4118773.00
         1053.00      4146802.00
         1054.00      4174961.00
         1055.00      4203354.00
         1056.00      4231683.00
         1057.00      4260238.00
         1058.00      4288934.00
         1059.00      4317759.00
         1060.00      4346717.00
         1061.00      4375658.00
         1062.00      4404728.00
         1063.00      4433933.00
         1064.00      4463270.00
         1065.00      4492742.00
         1066.00      4522347.00
         1067.00      4552090.00
