Date,Total_Outflow_cfs,Total_Outflow_AF,Evap_cfs,Evap_AF,Storage_AF,Tw_Temp_degF
6/1/2000,9129,18107.10744,369,731.9008264,4104266,48.59449957
6/2/2000,9002,17855.20661,483,958.0165289,4099244,48.37348639
6/3/2000,9145,18138.84298,336,666.446281,4091711,48.09837511
6/4/2000,8479,16817.85124,319,632.7272727,4085876,47.98757313
6/5/2000,7867,15603.96694,351,696.1983471,4081989,47.97093358
6/6/2000,8393,16647.27273,310,614.8760331,4072548,48.43028985
6/7/2000,7129,14140.16529,294,583.1404959,4074492,48.60831095
6/8/2000,7204,14288.92562,188,372.892562,4071993,48.71539274
6/9/2000,7266,14411.90083,82,162.6446281,4069494,48.46952355
6/10/2000,7338,14554.71074,114,226.1157025,4064774,47.99295289
6/11/2000,8169,16202.97521,212,420.4958678,4057581,48.11303043
6/12/2000,10521,20868.09917,195,386.7768595,4048185,48.36446793
6/13/2000,11497,22803.96694,227,450.2479339,4037407,48.38740046
6/14/2000,11665,23137.19008,373,739.8347107,4027222,48.35782696
6/15/2000,12617,25025.45455,372,737.8512397,4015945,48.4848872
6/16/2000,13332,26443.63636,411,815.2066116,4003042,48.72851752
6/17/2000,11567,22942.80992,370,733.8842975,3987985,48.52735169
6/18/2000,11112,22040.33058,329,652.5619835,3977597,48.53424196
6/19/2000,11011,21840,273,541.4876033,3966426,48.57805336
6/20/2000,11843,23490.24793,392,777.5206612,3954437,48.51429565
6/21/2000,11829,23462.47934,351,696.1983471,3942230,48.60788626
6/22/2000,11323,22458.84298,335,664.4628099,3928944,48.59154854
6/23/2000,11081,21978.84298,318,630.7438017,3916248,48.48709832
6/24/2000,11485,22780.16529,325,644.6280992,3900058,48.53196343
6/25/2000,11586,22980.49587,293,581.1570248,3885550,48.53467439
6/26/2000,11980,23761.98347,300,595.0413223,3874001,48.75950599
6/27/2000,11229,22272.39669,402,797.3553719,3864105,48.63077662
6/28/2000,12178,24154.71074,370,733.8842975,3851008,49.07255637
6/29/2000,11776,23357.35537,345,684.2975207,3837150,49.28721326
6/30/2000,12554,24900.49587,321,636.6942149,3825179,49.68838097
7/1/2000,12217,24232.06612,273,541.4876033,3811384,50.19667154
7/2/2000,12092,23984.13223,335,664.4628099,3796031,50.22484516
7/3/2000,11707,23220.49587,218,432.3966942,3781199,50.41108064
7/4/2000,12210,24218.18182,232,460.1652893,3759775,50.86365232
7/5/2000,12507,24807.27273,185,366.9421488,3742116,50.95205874
7/6/2000,13034,25852.56198,108,214.214876,3726631,51.03807487
7/7/2000,12377,24549.42149,192,380.8264463,3712212,50.99575025
7/8/2000,12898,25582.80992,176,349.0909091,3692896,51.24874487
7/9/2000,12588,24967.93388,244,483.9669421,3676247,50.96964725
7/10/2000,12210,24218.18182,320,634.7107438,3662221,50.42865976
7/11/2000,12228,24253.8843,334,662.4793388,3646451,50.39166381
7/12/2000,12402,24599.00826,341,676.3636364,3633024,50.31927081
7/13/2000,13162,26106.44628,189,374.8760331,3617334,50.36463556
7/14/2000,12004,23809.58678,271,537.5206612,3602453,50.65622719
7/15/2000,13635,27044.6281,292,579.1735537,3579190,50.98629065
7/16/2000,12809,25406.28099,306,606.9421488,3556791,51.07355435
7/17/2000,12492,24777.52066,246,487.9338843,3541840,51.13659963
7/18/2000,12439,24672.39669,208,412.5619835,3527175,51.2763527
7/19/2000,12405,24604.95868,281,557.3553719,3513055,51.19908823
7/20/2000,12533,24858.84298,295,585.1239669,3497726,50.66133488
7/21/2000,12240,24277.68595,302,599.0082645,3482674,49.48797787
7/22/2000,13141,26064.79339,323,640.661157,3462953,49.39264943
7/23/2000,13099,25981.4876,307,608.9256198,3442561,49.32110162
7/24/2000,12871,25529.2562,262,519.6694215,3425215,50.41848684
7/25/2000,12229,24255.86777,327,648.5950413,3410385,51.52928721
7/26/2000,12507,24807.27273,297,589.0909091,3395129,50.92261529
7/27/2000,12276,24349.09091,303,600.9917355,3379413,49.99976154
7/28/2000,13982,27732.89256,317,628.7603306,3362531,49.70087853
7/29/2000,11816,23436.69421,273,541.4876033,3350101,49.8444488
7/30/2000,12569,24930.24793,329,652.5619835,3334040,50.44270976
7/31/2000,12603,24997.68595,214,424.4628099,3321201,51.05822096
8/1/2000,12480,24753.71901,285,565.2892562,3307412,50.22606508
8/2/2000,12233,24263.80165,298,591.0743802,3294158,50.12239349
8/3/2000,12005,23811.57025,333,660.4958678,3282116,51.10755205
8/4/2000,11404,22619.50413,297,589.0909091,3268879,51.23085506
8/5/2000,12017,23835.3719,246,487.9338843,3247539,50.44413605
8/6/2000,11671,23149.09091,315,624.7933884,3227247,50.11587195
8/7/2000,11473,22756.36364,258,511.7355372,3215097,50.81233737
8/8/2000,9086,18021.81818,272,539.5041322,3205856,50.76609781
8/9/2000,9181,18210.24793,243,481.9834711,3196851,49.93763099
8/10/2000,9064,17978.18182,319,632.7272727,3188335,49.44262079
8/11/2000,9078,18005.95041,243,481.9834711,3179611,49.23805512
8/12/2000,8883,17619.17355,221,438.3471074,3167820,49.35745586
8/13/2000,8663,17182.80992,276,547.4380165,3154216,49.45157153
8/14/2000,9565,18971.90083,254,503.8016529,3143198,49.73963229
8/15/2000,8830,17514.04959,295,585.1239669,3132931,49.57859085
8/16/2000,7422,14721.32231,295,585.1239669,3128264,49.54221654
8/17/2000,7375,14628.09917,308,610.9090909,3121963,49.38720708
8/18/2000,6438,12769.58678,308,610.9090909,3117084,49.31341554
8/19/2000,7394,14665.78512,232,460.1652893,3111745,49.47643759
8/20/2000,7609,15092.2314,205,406.6115702,3103388,49.57662344
8/21/2000,7321,14520.99174,252,499.8347107,3098281,49.71244942
8/22/2000,7264,14407.93388,265,525.6198347,3091582,49.86266059
8/23/2000,6835,13557.02479,217,430.4132231,3086270,49.65121138
8/24/2000,6104,12107.10744,251,497.8512397,3082344,50.00665528
8/25/2000,5878,11658.84298,197,390.7438017,3079804,49.77674652
8/26/2000,5835,11573.55372,210,416.5289256,3072426,49.65211954
8/27/2000,6679,13247.60331,230,456.1983471,3065534,49.90155166
8/28/2000,7531,14937.52066,250,495.8677686,3057264,49.75612093
8/29/2000,6138,12174.54545,202,400.661157,3051750,49.66728594
8/30/2000,6055,12009.91736,202,400.661157,3047179,50.26825347
8/31/2000,5632,11170.90909,128,253.8842975,3043522,50.51196957
9/1/2000,4833,9586.115702,0,0,3047865,51.08926372
9/2/2000,4201,8332.561983,0,0,3047865,51.55755925
9/3/2000,3280,6505.785124,40,79.33884298,3050150,51.69284441
9/4/2000,4464,8854.214876,115,228.0991736,3050607,51.83359186
9/5/2000,4549,9022.809917,115,228.0991736,3051293,50.55752937
9/6/2000,4777,9475.041322,195,386.7768595,3052439,50.95055507
9/7/2000,4602,9127.933884,175,347.107438,3054507,50.26502747
9/8/2000,6158,12214.21488,202,400.661157,3052439,50.70034621
9/9/2000,5261,10435.04132,168,333.2231405,3046265,50.67996087
9/10/2000,5352,10615.53719,168,333.2231405,3040780,50.34076305
9/11/2000,4970,9857.85124,148,293.553719,3036666,50.6268692
9/12/2000,5063,10042.31405,195,386.7768595,3034380,50.62490479
9/13/2000,5520,10948.76033,181,359.0082645,3035294,50.51431727
9/14/2000,5963,11827.43802,148,293.553719,3033009,51.0345962
9/15/2000,4642,9207.272727,47,93.2231405,3033466,50.4735571
9/16/2000,5446,10801.98347,134,265.785124,3029352,50.7765962
9/17/2000,5559,11026.1157,201,398.677686,3022302,50.86722158
9/18/2000,6567,13025.45455,201,398.677686,3019347,51.27783284
9/19/2000,7073,14029.09091,214,424.4628099,3015710,51.05134561
9/20/2000,7989,15845.95041,260,515.7024793,3008663,51.22728318
9/21/2000,6621,13132.56198,213,422.4793388,3004127,50.96683897
9/22/2000,6161,12220.16529,200,396.6942149,3002544,51.1948346
9/23/2000,5960,11821.4876,27,53.55371901,2999152,51.04513202
9/24/2000,6565,13021.4876,153,303.4710744,2994855,51.35675141
9/25/2000,6284,12464.13223,113,224.1322314,2990558,51.57361998
9/26/2000,5244,10401.32231,159,315.3719008,2987166,51.45780712
9/27/2000,3351,6646.61157,133,263.8016529,2987619,51.21191844
9/28/2000,3236,6418.512397,159,315.3719008,2987845,51.61966478
9/29/2000,4686,9294.545455,159,315.3719008,2987166,51.41237319
9/30/2000,5295,10502.47934,133,263.8016529,2985131,51.53407636
10/1/2000,5255,10423.1405,166,329.2561983,2980848,51.65576262
10/2/2000,5283,10478.67769,212,420.4958678,2977473,51.7335411
10/3/2000,5246,10405.28926,212,420.4958678,2975448,52.03449802
10/4/2000,5465,10839.66942,199,394.7107438,2971849,51.82496549
10/5/2000,5936,11773.8843,99,196.3636364,2969599,51.85289902
10/6/2000,5425,10760.33058,198,392.7272727,2966899,52.10976307
10/7/2000,5365,10641.32231,178,353.0578512,2964649,52.32503895
10/8/2000,5134,10183.1405,165,327.2727273,2961049,52.48352431
10/9/2000,5138,10191.07438,264,523.6363636,2959259,52.63205726
10/10/2000,4975,9867.768595,7,13.88429752,2961949,52.73215976
10/11/2000,5387,10684.95868,0,0,2962849,52.72293157
10/12/2000,4659,9240.991736,0,0,2964199,52.89838615
10/13/2000,4923,9764.628099,145,287.6033058,2966449,53.12901287
10/14/2000,5921,11744.13223,119,236.0330579,2960378,53.01924284
10/15/2000,6080,12059.50413,92,182.4793388,2955902,53.08101183
10/16/2000,6075,12049.58678,92,182.4793388,2955007,53.31125683
10/17/2000,6274,12444.29752,72,142.8099174,2952546,53.32619239
10/18/2000,5945,11791.73554,79,156.6942149,2948070,53.41174413
10/19/2000,5518,10944.79339,99,196.3636364,2946280,53.73574184
10/20/2000,5347,10605.61983,59,117.0247934,2943147,53.71428449
10/21/2000,5670,11246.28099,20,39.66942149,2940462,53.89034494
10/22/2000,4673,9268.760331,92,182.4793388,2939567,53.72050556
10/23/2000,5282,10476.69421,59,117.0247934,2936891,53.98525007
10/24/2000,5278,10468.76033,85,168.5950413,2933552,53.7557948
10/25/2000,4968,9853.884298,52,103.1404959,2931993,53.9855683
10/26/2000,4991,9899.504132,0,0,2930658,54.2888934
10/27/2000,5288,10488.59504,59,117.0247934,2930212,54.07902743
10/28/2000,4524,8973.22314,46,91.23966942,2934442,53.89613189
10/29/2000,5861,11625.12397,26,51.57024793,2935555,54.40796899
10/30/2000,4720,9361.983471,20,39.66942149,2940686,54.75144693
10/31/2000,5415,10740.49587,0,0,2941357,54.75637758
11/1/2000,4708,9338.181818,46,91.23966942,2943147,54.59348682
11/2/2000,5033,9982.809917,79,156.6942149,2937114,54.85237019
11/3/2000,5195,10304.13223,59,117.0247934,2933774,54.83081198
11/4/2000,4971,9859.834711,85,168.5950413,2931993,54.52296148
11/5/2000,5237,10387.43802,85,168.5950413,2933107,54.80273577
11/6/2000,5387,10684.95868,39,77.3553719,2931993,54.95413949
11/7/2000,5352,10615.53719,98,194.3801653,2931548,54.58957533
11/8/2000,5458,10825.78512,79,156.6942149,2930658,54.58765831
11/9/2000,5462,10833.71901,72,142.8099174,2929767,54.58088628
11/10/2000,5754,11412.89256,33,65.45454545,2927986,54.61433334
11/11/2000,5267,10446.94215,39,77.3553719,2924202,54.68181048
11/12/2000,5667,11240.33058,39,77.3553719,2921530,54.44926563
11/13/2000,6849,13584.79339,39,77.3553719,2917968,54.40639148
11/14/2000,5586,11079.66942,7,13.88429752,2916855,54.43688958
11/15/2000,5347,10605.61983,7,13.88429752,2917300,54.53644084
11/16/2000,5848,11599.33884,20,39.66942149,2918414,54.37412016
11/17/2000,5268,10448.92562,33,65.45454545,2916410,54.4494028
11/18/2000,5093,10101.81818,91,180.4958678,2912868,54.19654814
11/19/2000,5974,11849.2562,46,91.23966942,2910211,54.09253937
11/20/2000,4532,8989.090909,39,77.3553719,2909547,54.10737584
11/21/2000,5533,10974.54545,26,51.57024793,2907775,53.94808208
11/22/2000,5366,10643.30579,7,13.88429752,2906226,53.91722615
11/23/2000,5680,11266.1157,33,65.45454545,2901133,53.84252628
11/24/2000,5560,11028.09917,0,0,2897370,53.6966832
11/25/2000,5489,10887.27273,39,77.3553719,2894491,53.46195377
11/26/2000,4467,8860.165289,32,63.47107438,2890526,53.40241589
11/27/2000,5843,11589.42149,0,0,2887001,53.36704684
11/28/2000,5441,10792.06612,0,0,2885239,53.2547914
11/29/2000,5431,10772.2314,58,115.0413223,2886341,53.3125403
11/30/2000,5755,11414.87603,39,77.3553719,2885680,53.47951893
12/1/2000,5174,10262.47934,45,89.25619835,2886781,54.2971658
12/2/2000,5238,10389.42149,26,51.57024793,2886120,55.11162871
12/3/2000,5748,11400.99174,32,63.47107438,2885019,55.02941393
12/4/2000,5990,11880.99174,26,51.57024793,2883477,54.89754156
12/5/2000,5238,10389.42149,58,115.0413223,2884358,54.69400657
12/6/2000,5372,10655.20661,58,115.0413223,2884138,54.64603561
12/7/2000,4811,9542.479339,19,37.68595041,2885680,54.26034746
12/8/2000,5885,11672.72727,32,63.47107438,2881715,54.30308819
12/9/2000,5056,10028.42975,26,51.57024793,2877751,54.00160484
12/10/2000,4808,9536.528926,0,0,2873566,53.94758872
12/11/2000,5654,11214.54545,19,37.68595041,2874226,53.93375568
12/12/2000,4951,9820.165289,13,25.78512397,2874887,53.78199757
12/13/2000,5545,10998.34711,0,0,2880173,53.51657826
12/14/2000,4110,8152.066116,123,243.9669421,2887882,53.32347989
12/15/2000,3568,7077.024793,98,194.3801653,2895598,53.29608252
12/16/2000,4128,8187.768595,13,25.78512397,2896705,53.4515027
12/17/2000,4488,8901.818182,20,39.66942149,2896927,53.27444766
12/18/2000,4497,8919.669421,98,194.3801653,2897812,53.34197743
12/19/2000,4888,9695.206612,85,168.5950413,2899805,52.91947525
12/20/2000,4691,9304.46281,20,39.66942149,2902683,52.79032803
12/21/2000,5116,10147.43802,52,103.1404959,2902019,52.81926182
12/22/2000,3801,7539.173554,0,0,2906668,52.480703
12/23/2000,3673,7285.289256,26,51.57024793,2907111,52.40124433
12/24/2000,3416,6775.53719,0,0,2905340,52.38858473
12/25/2000,2988,5926.61157,46,91.23966942,2904012,52.37013773
12/26/2000,3421,6785.454545,117,232.0661157,2905119,52.23918384
12/27/2000,3527,6995.702479,39,77.3553719,2907997,51.93777449
12/28/2000,4111,8154.049587,46,91.23966942,2910432,51.95360439
12/29/2000,4708,9338.181818,39,77.3553719,2913310,51.87575574
12/30/2000,4608,9139.834711,46,91.23966942,2913089,51.77080936
12/31/2000,4653,9229.090909,13,25.78512397,2910875,51.72403797
1/1/2001,4832,9584.132231,78,154.7107438,2908440,51.78040499
1/2/2001,4674,9270.743802,98,194.3801653,2906890,51.56351291
1/3/2001,4494,8913.719008,59,117.0247934,2906890,51.5395593
1/4/2001,4058,8048.92562,39,77.3553719,2907997,51.31940915
1/5/2001,4007,7947.768595,52,103.1404959,2909325,51.27248426
1/6/2001,3975,7884.297521,52,103.1404959,2908882,51.18411292
1/7/2001,4064,8060.826446,59,117.0247934,2905340,51.11655483
1/8/2001,4354,8636.033058,85,168.5950413,2909300,51.15764436
1/9/2001,4233,8396.033058,91,180.4958678,2912868,50.93867996
1/10/2001,3464,6870.743802,131,259.8347107,2925092,50.81113849
1/11/2001,3127,6202.31405,125,247.9338843,2937114,50.71156697
1/12/2001,3039,6027.768595,39,77.3553719,2944490,50.66273492
1/13/2001,3086,6120.991736,39,77.3553719,2948070,50.51076216
1/14/2001,4629,9181.487603,7,13.88429752,2949861,50.51702195
1/15/2001,3766,7469.752066,33,65.45454545,2952546,50.39751625
1/16/2001,3620,7180.165289,59,117.0247934,2955455,50.32715248
1/17/2001,4246,8421.818182,46,91.23966942,2957916,50.22666534
1/18/2001,3798,7533.22314,79,156.6942149,2959930,49.98825267
1/19/2001,2984,5918.677686,46,91.23966942,2965099,49.77447554
1/20/2001,4385,8697.520661,40,79.33884298,2965099,49.77006795
1/21/2001,3988,7910.082645,7,13.88429752,2963749,49.71420025
1/22/2001,3967,7868.429752,13,25.78512397,2964424,49.66218545
1/23/2001,3240,6426.446281,53,105.1239669,2969149,49.49141817
1/24/2001,2498,4954.710744,119,236.0330579,2977473,49.36837727
1/25/2001,1917,3802.31405,7,13.88429752,2989880,48.9776778
1/26/2001,2189,4341.818182,27,53.55371901,3001187,49.12557148
1/27/2001,1583,3139.834711,7,13.88429752,3008208,49.27665342
1/28/2001,1556,3086.280992,60,119.0082645,3013209,49.03113349
1/29/2001,2287,4536.198347,0,0,3021166,48.97528389
1/30/2001,1551,3076.363636,47,93.2231405,3030266,48.92180114
1/31/2001,2487,4932.892562,74,146.7768595,3035294,49.27352892
2/1/2001,2953,5857.190083,81,160.661157,3041694,49.22617972
2/2/2001,3035,6019.834711,34,67.43801653,3046493,49.17777824
2/3/2001,3107,6162.644628,13,25.78512397,3045122,49.18069784
2/4/2001,3316,6577.190083,34,67.43801653,3044436,49.21416149
2/5/2001,3115,6178.512397,47,93.2231405,3049922,49.17469501
2/6/2001,2951,5853.22314,74,146.7768595,3054736,49.14842532
2/7/2001,3119,6186.446281,68,134.8760331,3059561,49.05965414
2/8/2001,2941,5833.38843,81,160.661157,3064845,48.94598401
2/9/2001,2485,4928.92562,0,0,3076109,48.60984884
2/10/2001,449,890.5785124,0,0,3086270,48.19550269
2/11/2001,553,1096.859504,0,0,3099210,48.07667722
2/12/2001,499,989.7520661,0,0,3112209,48.17943239
2/13/2001,502,995.7024793,0,0,3123597,48.15401908
2/14/2001,1518,3010.909091,103,204.2975207,3135031,48.06196884
2/15/2001,3186,6319.338843,69,136.8595041,3140398,48.02026372
2/16/2001,2283,4528.264463,0,0,3146711,47.96303498
2/17/2001,2235,4433.057851,14,27.76859504,3154451,47.89231534
